player,team_abbr,min_per100,pts_per100,reb_per100,ast_per100,stl_per100,blk_per100,tov_per100,name_key
Maxime Raynaud,SAC,47.2,22.6,13.3,2.2,0.9,1.3,2.3,maxime raynaud
P.J. Washington,DAL,46.3,22.3,11.2,2.8,1.5,2.1,3.4,p j washington
Simone Fontecchio,MIA,45.2,22.2,7.2,4.1,1.1,0.4,2.3,simone fontecchio
OG Anunoby,NYK,47.0,22.2,7.9,3.0,2.7,1.1,2.9,og anunoby
Koby Brea,PHX,43.4,22.2,5.6,11.1,0.0,0.0,0.0,koby brea
Devin Vassell,SAS,47.0,22.1,5.9,3.6,1.3,0.7,1.4,devin vassell
Miles McBride,NYK,48.2,22.1,4.7,4.4,1.2,0.4,1.2,miles mcbride
Mikal Bridges,NYK,48.0,22.1,6.2,5.9,2.2,1.2,1.4,mikal bridges
Kevin Huerter,CHI,44.9,22.0,6.7,4.2,1.5,1.2,2.2,kevin huerter
Jaden McDaniels,MIN,47.5,22.0,6.8,4.0,1.5,1.3,2.7,jaden mcdaniels
Jase Richardson,ORL,47.5,22.0,6.2,5.7,1.6,0.2,2.7,jase richardson
Kyshawn George,WAS,46.5,21.9,8.3,7.4,1.5,1.3,4.6,kyshawn george
Nic Claxton,BKN,48.8,21.9,12.5,6.9,1.3,2.1,2.5,nic claxton
Dennis Schröder,SAC,47.4,21.9,5.9,10.0,1.4,0.3,3.5,dennis schroder
Aaron Wiggins,OKC,47.0,21.8,5.7,3.6,1.3,1.0,2.3,aaron wiggins
Naji Marshall,DAL,46.3,21.8,7.7,4.2,1.7,0.1,2.0,naji marshall
Quenton Jackson,IND,45.5,21.7,6.5,5.6,1.7,0.2,3.7,quenton jackson
Quentin Grimes,PHI,47.4,21.7,5.6,6.3,1.4,0.6,3.4,quentin grimes
VJ Edgecombe,PHI,48.1,21.7,7.4,5.4,1.8,0.6,2.3,vj edgecombe
Jacob Toppin,ATL,45.6,21.6,2.7,2.7,0.0,2.7,0.0,jacob toppin
Bones Hyland,MIN,46.2,21.6,4.7,7.4,1.9,0.8,2.9,bones hyland
Yanic Konan Niederhäuser,LAC,50.0,21.5,11.2,2.0,0.8,2.4,2.8,yanic konan niederhauser
Caleb Love,POR,45.8,21.5,5.6,5.0,1.2,0.3,2.3,caleb love
Jevon Carter,CHI,45.7,21.5,4.3,3.7,2.4,0.0,2.0,jevon carter
Jordan Miller,LAC,50.4,21.4,10.3,3.9,1.1,1.1,3.2,jordan miller
Kevin McCullar Jr.,NYK,47.5,21.4,11.2,5.1,2.0,0.0,5.1,kevin mccullar jr
Brandin Podziemski,GSW,47.0,21.4,7.6,5.5,1.8,0.3,2.6,brandin podziemski
PJ Hall,CHA,45.2,21.3,14.7,2.7,0.7,1.3,2.0,pj hall
