Lineup #,SelScore,HitCount,Salary,ProjSum,MaxSimPts,Players,FD_IDs
36,1.7434,1,59300,303.83,544.49,Daniss Jenkins (DET) | Luka Doncic (LAL) | Dyson Daniels (ATL) | Egor Demin (BKN) | Jimmy Butler (GSW) | Isaac Okoro (CHI) | Noah Clowney (BKN) | Collin Murray-Boyles (TOR) | Nic Claxton (BKN),"125339-203812,125339-84669,125339-171784,125339-228109,125339-14528,125339-145341,125339-188431,125339-228122,125339-110354"
39,1.7431,1,59200,290.65,561.0,Anfernee Simons (BOS) | Nickeil Alexander-Walker (ATL) | Tre Johnson (WAS) | Jeremiah Fears (NOP) | Kevin Huerter (CHI) | Mikal Bridges (NYK) | Scottie Barnes (TOR) | Karl-Anthony Towns (NYK) | Jusuf Nurkic (UTA),"125339-84717,125339-110356,125339-228118,125339-228131,125339-84704,125339-84670,125339-157822,125339-58462,125339-55057"
38,1.7431,1,59400,298.99,550.34,Kevin Porter Jr. (MIL) | Amen Thompson (HOU) | Marcus Smart (LAL) | Keyonte George (UTA) | Quentin Grimes (PHI) | Jaylen Wells (MEM) | Tari Eason (HOU) | Santi Aldama (MEM) | Paul Reed (DET),"125339-110345,125339-188405,125339-23670,125339-188412,125339-157826,125339-203776,125339-171769,125339-157844,125339-145329"
40,1.743,1,59900,298.92,550.28,Bub Carrington (WAS) | Tyrese Maxey (PHI) | Mikal Bridges (NYK) | RJ Barrett (TOR) | VJ Edgecombe (PHI) | Caris LeVert (DET) | Lauri Markkanen (UTA) | Justin Champagnie (WAS) | Nic Claxton (BKN),"125339-203721,125339-145331,125339-84670,125339-110357,125339-228133,125339-23798,125339-80812,125339-158855,125339-110354"
41,1.7409,1,60000,313.68,528.75,Ajay Mitchell (OKC) | Jaden Ivey (DET) | James Harden (LAC) | Marcus Smart (LAL) | Caris LeVert (DET) | Jaylen Brown (BOS) | Alex Sarr (WAS) | Isaiah Stewart (DET) | Joel Embiid (PHI),"125339-203808,125339-171780,125339-9644,125339-23670,125339-23798,125339-67026,125339-203764,125339-145307,125339-49111"
42,1.7372,1,60000,303.31,537.29,Nickeil Alexander-Walker (ATL) | Devin Booker (PHX) | Jaden Ivey (DET) | VJ Edgecombe (PHI) | Jake LaRavia (LAL) | Jalen Williams (OKC) | Kevin Durant (HOU) | Tristan Da Silva (ORL) | Wendell Carter Jr. (ORL),"125339-110356,125339-58460,125339-171780,125339-228133,125339-171757,125339-171760,125339-9646,125339-203716,125339-84676"
43,1.737,1,59900,314.34,522.99,Luka Doncic (LAL) | Derrick White (BOS) | Ajay Mitchell (OKC) | Caris LeVert (DET) | Julian Champagnie (SAS) | RJ Barrett (TOR) | Paul George (PHI) | Kristaps Porzingis (ATL) | Collin Murray-Boyles (TOR),"125339-84669,125339-49675,125339-203808,125339-23798,125339-172098,125339-110357,125339-12341,125339-63122,125339-228122"
44,1.7368,1,60000,306.87,532.34,De'Aaron Fox (SAS) | Caleb Love (POR) | Jaylen Brown (BOS) | Ajay Mitchell (OKC) | Jalen Johnson (ATL) | Keldon Johnson (SAS) | Peyton Watson (DEN) | Tolu Smith (DET) | Paul Reed (DET),"125339-80810,125339-228180,125339-67026,125339-203808,125339-157833,125339-110347,125339-171761,125339-213259,125339-145329"
45,1.7359,1,59800,299.51,540.64,Jaden Ivey (DET) | Payton Pritchard (BOS) | Dyson Daniels (ATL) | Cam Spencer (MEM) | Royce O'Neale (PHX) | Grayson Allen (PHX) | Giannis Antetokounmpo (MIL) | Chet Holmgren (OKC) | Paul Reed (DET),"125339-171780,125339-145335,125339-171784,125339-203777,125339-18338,125339-84711,125339-40199,125339-171759,125339-145329"
46,1.7358,1,59100,302.09,537.2,Nickeil Alexander-Walker (ATL) | Keyonte George (UTA) | Jaylen Wells (MEM) | Jaden Ivey (DET) | Julian Champagnie (SAS) | Jalen Williams (OKC) | Zion Williamson (NOP) | Peyton Watson (DEN) | Isaiah Stewart (DET),"125339-110356,125339-188412,125339-203776,125339-171780,125339-172098,125339-171760,125339-110310,125339-171761,125339-145307"
47,1.7354,1,59100,284.14,559.69,Reed Sheppard (HOU) | Tyrese Maxey (PHI) | Jamal Shead (TOR) | Collin Gillespie (PHX) | Jalen Williams (OKC) | Lauri Markkanen (UTA) | Jake LaRavia (LAL) | Draymond Green (GSW) | Luka Garza (BOS),"125339-203713,125339-145331,125339-203798,125339-171668,125339-171760,125339-80812,125339-171757,125339-15860,125339-157807"
48,1.735,1,59500,294.86,545.4,Jeremiah Fears (NOP) | Daniss Jenkins (DET) | Stephon Castle (SAS) | Reed Sheppard (HOU) | Dillon Brooks (PHX) | Marcus Smart (LAL) | Zion Williamson (NOP) | Alex Sarr (WAS) | Karl-Anthony Towns (NYK),"125339-228131,125339-203812,125339-203723,125339-203713,125339-60233,125339-23670,125339-110310,125339-203764,125339-58462"
49,1.7347,1,60000,299.67,538.86,De'Anthony Melton (GSW) | Ryan Rollins (MIL) | VJ Edgecombe (PHI) | Jordan Poole (NOP) | Paul George (PHI) | Tari Eason (HOU) | Jalen Johnson (ATL) | Isaiah Stewart (DET) | Kristaps Porzingis (ATL),"125339-84703,125339-171772,125339-228133,125339-110322,125339-12341,125339-171769,125339-157833,125339-145307,125339-63122"
50,1.7343,1,59300,285.87,556.04,Jordan Poole (NOP) | Stephen Curry (GSW) | Brandin Podziemski (GSW) | Moses Moody (GSW) | Quentin Grimes (PHI) | Kevin Durant (HOU) | Alex Sarr (WAS) | Santi Aldama (MEM) | Jock Landale (MEM),"125339-110322,125339-9524,125339-188433,125339-157802,125339-157826,125339-9646,125339-203764,125339-157844,125339-158137"
51,1.7339,1,59900,289.34,551.17,De'Anthony Melton (GSW) | Kevin Porter Jr. (MIL) | Amen Thompson (HOU) | Tre Jones (CHI) | OG Anunoby (NYK) | Kevin Durant (HOU) | Bilal Coulibaly (WAS) | Collin Murray-Boyles (TOR) | Sandro Mamukelashvili (TOR),"125339-84703,125339-110345,125339-188405,125339-145323,125339-68090,125339-9646,125339-188416,125339-228122,125339-157846"
52,1.7335,1,59000,308.57,525.93,Ajay Mitchell (OKC) | Jamal Murray (DEN) | Stephon Castle (SAS) | Cason Wallace (OKC) | Kevin Durant (HOU) | Aaron Wiggins (OKC) | Chet Holmgren (OKC) | Noah Clowney (BKN) | Paul Reed (DET),"125339-203808,125339-66108,125339-203723,125339-188415,125339-9646,125339-157829,125339-171759,125339-188431,125339-145329"
53,1.7325,1,59700,313.32,518.62,Egor Demin (BKN) | LaMelo Ball (CHA) | Marcus Smart (LAL) | Dillon Brooks (PHX) | Michael Porter Jr. (BKN) | Jalen Williams (OKC) | Miles Bridges (CHA) | Isaiah Stewart (DET) | Paul Reed (DET),"125339-228109,125339-145485,125339-23670,125339-60233,125339-84682,125339-171760,125339-84678,125339-145307,125339-145329"
54,1.7323,1,59900,294.12,543.0,Shaedon Sharpe (POR) | Jamal Murray (DEN) | De'Anthony Melton (GSW) | Jordan Clarkson (NYK) | Jaylen Brown (BOS) | Dillon Brooks (PHX) | Justin Champagnie (WAS) | Jake LaRavia (LAL) | Alex Sarr (WAS),"125339-171804,125339-66108,125339-84703,125339-20640,125339-67026,125339-60233,125339-158855,125339-171757,125339-203764"
55,1.732,1,59200,278.02,563.19,Collin Gillespie (PHX) | Keyonte George (UTA) | RJ Barrett (TOR) | Jaylen Brown (BOS) | Christian Braun (DEN) | Desmond Bane (ORL) | Isaiah Stewart (DET) | Tristan Da Silva (ORL) | Steven Adams (HOU),"125339-171668,125339-188412,125339-110357,125339-67026,125339-171744,125339-145334,125339-145307,125339-203716,125339-23169"
56,1.7319,1,60000,290.76,546.82,Isaiah Collier (UTA) | Tyrese Maxey (PHI) | Kevin Porter Jr. (MIL) | Ausar Thompson (DET) | Caris LeVert (DET) | Justin Champagnie (WAS) | Bobby Portis (MIL) | Matas Buzelis (CHI) | Joel Embiid (PHI),"125339-203726,125339-145331,125339-110345,125339-188426,125339-23798,125339-158855,125339-42156,125339-203761,125339-49111"
57,1.7313,1,59300,310.15,521.21,Jaden Ivey (DET) | Luka Doncic (LAL) | Vit Krejci (ATL) | Keyonte George (UTA) | Luguentz Dort (OKC) | Dillon Brooks (PHX) | Santi Aldama (MEM) | Lauri Markkanen (UTA) | Robert Williams (POR),"125339-171780,125339-84669,125339-145540,125339-188412,125339-111273,125339-60233,125339-157844,125339-80812,125339-84708"
